id,name,level,parent,lat,lon,today,m30,ytd,color
gunp_kh,ГУНП в Харківській області,ГУНП,,49.9935,36.2304,0,0,0,#3ea6ff
хруп_1_київський,ХРУП № 1 (Київський),ХРУП,ГУНП в Харківській області,,,0,0,0,
вп_1_основянський,ВП № 1 Основянський,ВП,ХРУП № 1 (Київський),,,0,0,0,
вп_2_слобідський,ВП № 2 Слобідський,ВП,ХРУП № 1 (Київський),,,0,0,0,
вп_3_харківський_мерефа,ВП № 3 Харківський Мерефа,ВП,ХРУП № 1 (Київський),,,0,0,0,
відділення_поліції_1_аеропорт,Відділення поліції № 1 аеропорт,ВнП,ХРУП № 1 (Київський),,,0,0,0,
відділення_поліції_2_люботин,Відділення поліції № 2 Люботин,ВнП,ХРУП № 1 (Київський),,,0,0,0,
відділення_поліції_3_водолага,Відділення поліції № 3 Водолага,ВнП,ХРУП № 1 (Київський),,,0,0,0,
хруп_2_московський,ХРУП № 2 (Московський),ХРУП,ГУНП в Харківській області,,,0,0,0,
вп_1_індустріальний,ВП № 1 Індустріальний,ВП,ХРУП № 2 (Московський),,,0,0,0,
вп_2_немишлянський,ВП № 2 Немишлянський,ВП,ХРУП № 2 (Московський),,,0,0,0,
відділення_поліції_1_липецьке,Відділення поліції № 1 Липецьке,ВнП,ХРУП № 2 (Московський),,,0,0,0,
хруп_3_шевченківський,ХРУП № 3 (Шевченківський),ХРУП,ГУНП в Харківській області,,,0,0,0,
вп_1_новобоварський,ВП № 1 Новобоварський,ВП,ХРУП № 3 (Шевченківський),,,0,0,0,
вп_2_холодногірський,ВП № 2 Холодногірський,ВП,ХРУП № 3 (Шевченківський),,,0,0,0,
вп_3_дергачівський,ВП № 3 Дергачівський,ВП,ХРУП № 3 (Шевченківський),,,0,0,0,
відділення_поліції_1_харків_пас,Відділення поліції № 1 Харків пас,ВнП,ХРУП № 3 (Шевченківський),,,0,0,0,
ізюмське_руп,Ізюмське РУП,ВП,ГУНП в Харківській області,,,0,0,0,
спд_1_борівське,СПД № 1 Борівське,ВнП,Ізюмське РУП,,,0,0,0,
вп_1_балаклійський,ВП № 1 (Балаклійський),ВП,Ізюмське РУП,,,0,0,0,
відділення_поліції_1_барвінківське,Відділення поліції № 1 Барвінківське,ВнП,Ізюмське РУП,,,0,0,0,
чугуївське_руп,Чугуївське РУП,ВП,ГУНП в Харківській області,,,0,0,0,
спд_1_на_воді,СПД № 1 на воді,ВнП,Чугуївське РУП,,,0,0,0,
вп_1_вовчанський,ВП № 1 Вовчанський,ВП,Чугуївське РУП,,,0,0,0,
вп_2_зміївський,ВП № 2 Зміївський,ВП,Чугуївське РУП,,,0,0,0,
куп_янський_рвп,Куп’янський РВП,ВП,ГУНП в Харківській області,,,0,0,0,
впд_1_шевченківське,ВПД № 1 Шевченківське,ВнП,Куп’янський РВП,,,0,0,0,
спд_1_дворічанське,СПД № 1 Дворічанське,ВнП,Куп’янський РВП,,,0,0,0,
відділення_поліції_1_великобурлуцьке,Відділення поліції № 1 Великобурлуцьке,ВнП,Куп’янський РВП,,,0,0,0,
красноградський_рвп,Красноградський РВП,ВП,ГУНП в Харківській області,,,0,0,0,
відділення_поліції_1_сахновщинський_вп,Відділення поліції № 1 Сахновщинський ВП,ВнП,Красноградський РВП,,,0,0,0,
спд_1_кегичівське_вп,СПД № 1 Кегичівське ВП,ВнП,Красноградський РВП,,,0,0,0,
спд_1_зачепилівське_вп,СПД № 1 Зачепилівське ВП,ВнП,Красноградський РВП,,,0,0,0,
богодухівський_рвп,Богодухівський РВП,ВП,ГУНП в Харківській області,,,0,0,0,
спд_1_краснокутське_вп,СПД № 1  Краснокутське ВП,ВнП,Богодухівський РВП,,,0,0,0,
відділення_поліції_1_валківський_вп,Відділення поліції № 1 Валківський ВП,ВнП,Богодухівський РВП,,,0,0,0,
відділення_поліції_2_золочівське_вп,Відділення поліції № 2 Золочівське ВП,ВнП,Богодухівський РВП,,,0,0,0,
лозівський_рвп,Лозівський РВП,ВП,ГУНП в Харківській області,,,0,0,0,
спд_1_близнюківське_вп,СПД № 1 Близнюківське ВП,ВнП,Лозівський РВП,,,0,0,0,
відділення_поліції_1_первомайський_вп,Відділення поліції № 1 Первомайський ВП,ВнП,Лозівський РВП,,,0,0,0,
відділ_поліції_в_метрополітені,Відділ поліції в метрополітені,ВнП,ГУНП в Харківській області,,,0,0,0,
відділ_спец_поліції,Відділ спец поліції,ВнП,ГУНП в Харківській області,,,0,0,0,
ітт_1,ІТТ № 1,ВнП,ГУНП в Харківській області,,,0,0,0,
